Price;Boat Type;Manufacturer;Condition ;Fuel ;Length;Width;Material;Country;City
EUR 29650;Sport Boat;Quicksilver (Brunswick Marine) power boats;new boat from stock;;5.07;2.12;GRP;Germany; Baden-Württemberg
CHF 32000;Sport Boat;Ranieri power boats;Used boat;;5.65;2.2;GRP;Switzerland; Vierwaldstättersee
DKK 220000;Motor Yacht;Regal power boats;Used boat;;8.75;2.85;GRP;Denmark; kolding
EUR 29500;Sport Boat;Rancraft power boats;Used boat;;7.5;2.59;GRP;Belgium; North Sea
EUR 30000;Classic;Storebro power boats;Used boat;;7.5;2.4;Wood;Germany; Bayern
EUR 30000;Flybridge;Bertram Yacht power boats;Used boat;;9.5;3.52;;Italy; Mar Tirreno
EUR 30000;Motor Yacht;Blumar power boats;Used boat;;8.01;2.85;GRP;Italy;
EUR 30000;Cabin Boat;Crownline power boats;Used boat;;8.13;2.5;GRP;Germany; Lake Constance
EUR 30000;Classic,Sport Boat;Ilver power boats;Used boat;;7.8;2.67;GRP;Netherlands; Utrecht
EUR 30000;Motor Yacht;Blohm + Voss power boats;Used boat;;10.0;3.25;GRP;Germany; Müritz
EUR 30000;Sport Boat;Arvor power boats;Used boat;;7.0;2.0;GRP;Croatia (Hrvatska); Istra
EUR 30000;Sport Boat;Quicksilver power boats;Used boat;;9.4;2.96;PVC;France; FORET-FOUESNANT
EUR 30000;Cabin Boat;Jeanneau power boats;Used boat;;9.0;3.0;GRP;Italy; Veneto
EUR 30000;Sport Boat;Slepsk power boats;Used boat;;5.87;2.32;GRP;Austria;
EUR 30000;Pontoon Boat;Acroplast power boats;Used boat;;7.8;2.5;GRP;France; Rhône-Alpes
EUR 30000;Motor Yacht;Wellcraft power boats;Used boat;;10.2;3.5;GRP;Italy; Toscana
EUR 30000;Cabin Boat;;Used boat;;11.9;3.2;Steel;Germany; Flensburg
EUR 29999;Trawler;Bayliner power boats;Used boat;;6.7;2.44;;Travemünde ;
EUR 30900;Deck Boat;Bénéteau power boats;Used boat;;5.5;2.34;PVC;France; PORNICHET
EUR 30900;Motor Yacht;Sea Ray power boats;Used boat;;10.0;3.5;GRP;Germany; Nordrhein-Westfalen
EUR 30825;Bowrider;Parker power boats;new boat from stock;;6.05;2.25;GRP;Germany; Nordrhein-Westfalen
EUR 30820;Pilothouse;Bénéteau power boats;new boat from stock;;5.7;2.4;GRP;Germany; Berlin
EUR 30820;Sport Boat;Quicksilver (Brunswick Marine) power boats;new boat on order;;5.07;2.12;GRP;Germany; Baden-Württemberg
EUR 30810;Motor Yacht;Parker power boats;new boat from stock;;6.05;2.25;GRP;Germany; Nordrhein-Westfalen
EUR 30781;Sport Boat;Parker power boats;new boat from stock;;6.05;2.25;GRP;Germany; AB WERFT
CHF 33000;Pilothouse;Scand power boats;Used boat;;7.8;2.85;;Switzerland; Bielersee
CHF 33000;Cabin Boat;Hollandia power boats;Used boat;;10.3;3.3;Steel;Switzerland; Neuenburgersee
£ 27995;Hardtop;Hardy Marine power boats;Used boat;;8.38;3.2;PVC;Spain; Ametlla De Mar
EUR 30699;Bowrider;Bayliner power boats;new boat on order;;5.7;2.26;GRP;Germany; Kiel
EUR 30645;Deck Boat;Quicksilver power boats;new boat from stock;;6.12;2.4;GRP;Germany; Berlin
CHF 33000;Pilothouse;Selection Boats power boats;new boat from stock;;5.6;2.35;;Switzerland; Vésenaz
CHF 33000;Motor Yacht;Regal power boats;Used boat;;8.5;2.55;GRP;Lake Constance; Altenrhein
CHF 32730;Fishing Boat;Füllemann power boats;new boat from stock;;6.03;1.9;GRP;Switzerland; Lake Constance
EUR 30500;Cabin Boat;Quicksilver power boats;new boat from stock;;5.5;2.29;;France; granville
EUR 32000;Cabin Boat;Jeanneau power boats;Used boat;;7.8;2.95;;Italy; Friuli-Venezia Giulia
EUR 32000;Sport Boat;Gobbi power boats;Unleaded;;8.73;2.98;GRP;Germany; Zadar
EUR 32000;Sport Boat;Bayliner power boats;Used boat;;7.0;2.59;Carbon Fiber;Spain; Costa Norte (Galicia)
CHF 34500;Cabin Boat;Bella power boats;Used boat;;6.5;2.42;GRP;Switzerland; Luganersee
EUR 31900;Sport Boat;Bayliner power boats;Used boat;;9.0;2.0;GRP;Croatia (Hrvatska); Istra
EUR 31900;Pilothouse;Bénéteau power boats;Used boat;;7.23;2.78;PVC;France;
EUR 31900;Sport Boat;Cobalt power boats;Used boat;;7.62;2.59;GRP;Germany; Bayern
EUR 31900;Sport Boat;Larson power boats;Used boat;;6.7;2.5;Plastic;Germany; Rheinland-Pfalz
EUR 31830;Bowrider;Galia power boats;new boat from stock;;5.2;2.1;GRP;Switzerland; Vierwaldstättersee
£ 29000;Pilothouse;Jeanneau power boats;Used boat;;6.99;2.76;PVC;United Kingdom; LARGS
EUR 31800;House Boat;;new boat from stock;;12.5;4.2;Wood;Poland; Nieuwbouw.
CHF 34340;Deck Boat;Quicksilver (Brunswick Marine) power boats;new boat from stock;;6.12;2.4;GRP;Switzerland; Neuenburgersee
EUR 31690;Pilothouse;Bénéteau power boats;new boat from stock;;8.23;2.79;GRP;Germany; Niedersachsen
CHF 34000;Sport Boat;Ilver power boats;Used boat;;10.8;3.1;GRP;Switzerland; Steinach
EUR 32500;Trawler;Pedro power boats;Used boat;;8.6;2.8;Steel;Netherlands; In verkoophaven
EUR 32500;Pontoon Boat;Cantieri Nautici Ferrario power boats;new boat from stock;;6.5;2.4;GRP;Italy; Dormelletto
EUR 32500;Bowrider;Rinker power boats;Used boat;;6.4;2.49;;France; DIENVILLE
EUR 32500;Cabin Boat;Coverline power boats;Used boat;;7.6;2.5;GRP;Germany; Bayern
EUR 32500;Runabout;AYROS power boats;new boat from stock;;6.99;2.55;GRP;Italy; Lombardia - Trentino Alto Adige
EUR 32500;Trawler;;Used boat;;39.13;5.1;Steel;Netherlands; Omgeving Harlingen
EUR 32500;Motor Yacht;;Used boat;;9.4;3.1;Steel;Netherlands; Alphen aan de Rijn
EUR 32500;Trawler;;Used boat;;10.8;3.25;Steel;Netherlands; In verkoophaven
EUR 32500;Sport Boat;Sea Ray power boats;Used boat;;9.95;2.74;GRP;Germany; Berlin
EUR 32500;Sport Boat;;Used boat;;8.85;2.9;GRP;Germany; Brandenburg
EUR 32500;Trawler;;Used boat;;10.3;3.15;Steel;Netherlands; onbekend
EUR 32500;Motor Yacht;;Used boat;;11.5;3.6;Steel;Netherlands; In verkoophaven
EUR 32500;Sport Boat;Bayliner power boats;Used boat;;8.76;3.0;PVC;Netherlands; Drimmelen
EUR 32490;Trawler;;new boat from stock;;11.65;3.25;Steel;Germany; Hamburg
EUR 32490;Center console boat;Pacific Craft power boats;Used boat;;6.24;2.5;PVC;France; Le Havre
EUR 33000;Sport Boat;Sea Ray power boats;Used boat;;7.3;2.55;PVC;Slovak Republic; Bratislava
EUR 33000;Flybridge;Fiart Mare power boats;Used boat;;11.34;3.68;GRP;Italy; Veneto
EUR 33000;Center console boat;;Used boat;;6.3;2.4;;Italy; Puglia
EUR 33000;Pilothouse;Jeanneau power boats;Used boat;;5.79;2.46;PVC;France; ENSUES
EUR 33000;Sport Boat;Princess power boats;Used boat;;9.28;3.36;;Italy; Aprilia Marittima di Latisana (UD)
EUR 33000;Classic,Motorsailer;;Used boat;;10.6;3.25;Wood;Turkey; Marmaris
EUR 33000;Sport Boat;Sea Ray power boats;Used boat;;7.62;2.56;GRP;Greece; Athens
EUR 33000;Sport Boat;Antaris power boats;Used boat;;7.0;2.0;GRP;Croatia (Hrvatska); Dalmatia
EUR 33000;Pilothouse;Bénéteau power boats;Used boat;;7.23;2.78;PVC;France; LOCTUDY
EUR 33000;Sport Boat;IRON power boats;new boat on order;;6.52;2.44;GRP;Germany; Kiel
EUR 33000;Center console boat;Ranieri power boats;Used boat;;8.05;2.5;PVC;France; Arzon
EUR 33000;Cabin Boat;Cranchi power boats;Used boat;;9.1;2.9;GRP;Italy; Toscana
EUR 33000;Sport Boat,Wakeboard/Wakesurf;MasterCraft power boats;Used boat;;6.1;2.5;Carbon Fiber;Poland; Warszawa
EUR 33000;Pilothouse,Sport Boat;Arvor power boats;Used boat;;7.3;2.78;GRP;Stralsund ;
EUR 33000;Cabin Boat,Motor Yacht;Coverline power boats;Used boat;;8.39;2.39;GRP;Austria; Greece / Chalkidiki
EUR 33000;Sport Boat;Cranchi power boats;Used boat;;8.5;3.0;GRP;Italy; Mar Ligure
EUR 34000;Pilothouse;Bénéteau power boats;new boat from stock;;5.72;2.4;PVC;Spain; Dénia
EUR 34000;Deck Boat;Sunchaser power boats;Used boat;;6.17;2.5;Aluminium;Italy; Lago Maggiore
EUR 34000;Sport Boat;ST power boats;Used boat;;7.65;2.98;PVC;France; Noirmoutier
EUR 34000;Cabin Boat;Chaparral power boats;Used boat;;9.2;3.0;GRP;Germany; Ems
EUR 34000;Cabin Boat;Rinker power boats;Used boat;;7.3;;GRP;Rostock ;
EUR 34000;Bowrider;Cobalt power boats;Used boat;;7.5;;;Portugal; Setúbal
EUR 34000;Cabin Boat;Maxum power boats;Used boat;;7.92;2.59;GRP;Germany; Mannheim
EUR 33950;Sport Boat;Bayliner power boats;new boat from stock;;6.8;2.3;;Germany; Nordrhein-Westfalen
EUR 33950;Launch;;new boat from stock;;7.1;2.5;;Germany; DE
EUR 33900;Sport Boat;Marinello power boats;new boat from stock;;7.45;2.49;;Germany; Hock Boote
EUR 33900;Sport Boat;Rio power boats;Used boat;;7.9;2.55;GRP;Germany; Außenlager
EUR 33900;Cabin Boat;Chaparral power boats;Used boat;;9.5;3.0;GRP;Germany; Nordrhein-Westfalen
EUR 33900;Cabin Boat;Bayliner power boats;Used boat;;8.0;2.0;GRP;Croatia (Hrvatska); Dalmatia
EUR 33900;Sport Boat;Rinker power boats;Used boat;;8.46;2.76;GRP;Germany; Nordrhein-Westfalen
EUR 33900;Pilothouse;Jeanneau power boats;new boat from stock;;5.64;2.45;;France; CHERBOURG
EUR 34900;Sport Boat;Quicksilver power boats;new boat from stock;;5.5;2.29;;France; granville
EUR 34900;Deck Boat;Bénéteau power boats;Used boat;;6.4;2.52;PVC;France; 29200 BREST
EUR 34900;Sport Boat;Saver power boats;Used boat;;7.5;2.64;PVC;Spain; Valencia
EUR 34900;Cabin Boat;Cranchi power boats;Used boat;;8.44;2.97;GRP;Germany; Nordrhein-Westfalen
EUR 34900;Center console boat;Invictus power boats;new boat from stock;;7.45;2.5;GRP;Switzerland; Lake Geneva
EUR 34900;Pontoon Boat;Faeton power boats;Used boat;;7.49;2.7;GRP;Italy; Friuli Venezia Giulia
EUR 34900;Sport Boat;Maxum power boats;Used boat;;9.0;3.0;GRP;Croatia (Hrvatska); Istra
EUR 34900;Sport Boat;Chaparral power boats;Used boat;;7.0;2.0;PVC;Spain; Málaga
EUR 34900;Fishing Boat;Osprey power boats;new boat from stock;;8.0;2.8;GRP;Netherlands; In verkoophaven
EUR 34900;Sport Boat;Galeon power boats;Used boat;;6.82;2.51;PVC;Netherlands; Drimmelen
EUR 34900;House Boat,Motor Yacht;Pedro power boats;Used boat;;11.7;3.5;Steel;Italy; Adria (IT)
EUR 34900;Motor Yacht;;Used boat;;13.0;2.5;Aluminium;Netherlands; Makkum centrum
EUR 34828;Pilothouse;Jeanneau power boats;new boat from stock;;6.4;2.45;GRP;Switzerland; Lake Constance
EUR 34800;Pontoon Boat;Saver power boats;Display Model;;7.75;2.55;GRP;Italy; Friuli Venezia Giulia
EUR 34800;Sport Boat;Crownline power boats;Used boat;;7.0;2.6;GRP;Germany; Baden-Württemberg
EUR 35000;Bowrider;Sea Ray power boats;Used boat;;7.92;2.44;GRP;Spain; Andratx
EUR 35000;Sport Boat;Crownline power boats;Used boat;;6.83;2.59;GRP;Italy; lombardia
EUR 35000;Deck Boat;Bénéteau power boats;Used boat;;6.23;2.52;PVC;France; Deauville
EUR 35000;Motor Yacht;Sea Ray power boats;Used boat;;9.3;3.2;GRP;Germany; Brandenburg
EUR 35000;Sport Boat;Sea Ray power boats;Used boat;;6.15;2.0;GRP;Turkey; Southern Turkey
EUR 35000;Pilothouse;Jeanneau power boats;Used boat;;8.25;2.94;PVC;France; Concarneau
EUR 35000;Sport Boat;;Used boat;;7.25;2.57;GRP;Croatia (Hrvatska); Rab
EUR 35000;Pilothouse;Ocqueteau power boats;Used boat;;8.35;2.95;PVC;France;56570
EUR 35000;Pilothouse;Bénéteau power boats;Used boat;;7.6;2.75;PVC;France; loctudy
EUR 35000;Sport Boat;;Used boat;;7.75;3.21;GRP;Italy; Toscana
EUR 35000;Sport Boat;Cruisers Yachts power boats;Used boat;;9.7;3.2;GRP;Germany; Havel
EUR 35000;Fishing Boat;San Remo power boats;Used boat;;6.35;2.5;GRP;Portugal; Lisbon
EUR 35000;Cabin Boat;Cranchi power boats;Used boat;;9.69;3.07;GRP;Italy; Liguria
EUR 35000;Motor Yacht;Four Winns power boats;Used boat;;9.95;3.15;GRP;Netherlands; Woudsend (NL)
EUR 35000;Trawler;Ten Broeke power boats;Used boat;;9.5;3.0;;Austria; Schlögenerschlinge
EUR 35000;Motor Yacht;Gillissen power boats;Used boat;;9.7;3.3;Steel;Netherlands; In verkoophaven
EUR 35499;Bowrider;Quicksilver (Brunswick Marine) power boats;new boat from stock;;6.2;2.34;GRP;Germany; Kieler Bucht mit Fehmarn
EUR 35450;Cabin Boat;Quicksilver (Brunswick Marine) power boats;new boat on order;;5.94;2.4;GRP;Germany; Niedersachsen
EUR 35419;Center console boat;Bénéteau power boats;new boat from stock;;5.56;2.26;PVC;France; PLUNERET
EUR 35400;Sport Boat;Gropp power boats;new boat from stock;;6.9;1.78;Aluminium;Switzerland; Lake Constance
EUR 35250;Bowrider;Bayliner power boats;new boat from stock;;5.7;2.26;GRP;Germany; Kiel
EUR 35200;Pilothouse;Quicksilver power boats;Used boat;;5.75;2.54;PVC;France; SAINT CYPRIEN
EUR 35200;Pilothouse;Quicksilver power boats;Used boat;;5.75;2.54;PVC;France; SAINT CYPRIEN
EUR 35160;Bowrider;Quicksilver power boats;new boat on order;;6.02;2.34;GRP;Germany;
CHF 38000;Motor Yacht;Tullio Abbate power boats;Used boat;;11.5;2.85;GRP;Switzerland; Luganersee
CHF 38000;Deck Boat;Harris FloteBote power boats;Used boat;;7.3;2.59;Aluminium;Switzerland; Luganersee
CHF 38000;Sport Boat;Rinker power boats;Used boat;;7.16;2.59;GRP;Switzerland; Murtensee
CHF 38000;Runabout;Boesch power boats;Used boat;;5.3;2.14;Wood;Switzerland; Kilchberg 
CHF 38000;Sport Boat;Colombo power boats;Used boat;;6.94;2.27;GRP;Switzerland; Vierwaldstättersee
EUR 35150;Pilothouse;Quicksilver power boats;new boat from stock;;6.55;2.54;GRP;Germany; BOOTSCENTER KESER
EUR 35115;Deck Boat;Quicksilver power boats;new boat from stock;;6.74;2.55;;Germany; Berlin
CHF 37950;Sport Boat;Bella power boats;new boat from stock;;6.58;2.38;GRP;Switzerland; Vierwaldstättersee
EUR 36414;Deck Boat;Jeanneau power boats;new boat from stock;;7.19;2.52;GRP;Germany;1
EUR 36414;Center console boat;Jeanneau power boats;new boat from stock;;7.74;2.52;GRP;Germany; Bönningstedt
CHF 39000;Motor Yacht;Quicksilver (Brunswick Marine) power boats;Used boat;;8.04;2.89;GRP;Switzerland; Murtensee
CHF 39000;Cabin Boat;Windy power boats;Used boat;;7.8;2.5;GRP;Switzerland; Thunersee
EUR 36300;Pilothouse;AluForce power boats;new boat from stock;;6.8;2.35;;Germany; Bitte Anfragen
DKK 270000;Deck Boat;Yamarin power boats;new boat from stock;;6.0;2.0;;Denmark; Svendborg
CHF 39220;Bowrider;Quicksilver (Brunswick Marine) power boats;new boat from stock;;5.73;2.29;GRP;Switzerland; Neuenburgersee
CHF 39200;Pilothouse;Ranieri International power boats;new boat from stock;;6.6;2.5;GRP;Switzerland; Bielersee
EUR 36250;Sport Boat;Kaasbøll power boats;Used boat;;6.6;2.3;Aluminium;Germany; Hessen
CHF 39170;Cabin Boat;Quicksilver (Brunswick Marine) power boats;new boat from stock;;6.02;2.34;GRP;Switzerland; Neuenburgersee
EUR 36228;Sport Boat;AW power boats;new boat on order;;5.8;2.08;Aluminium;Germany; Baden-Württemberg
DKK 269000;Bowrider;Yamarin power boats;new boat from stock;;5.0;2.0;;Denmark; Svendborg
CHF 39000;Trawler;Escape Sloepen power boats;new boat from stock;;7.5;2.5;GRP;Switzerland; Lake of Zurich
CHF 39000;Cabin Boat;Nimbus power boats;Used boat;;6.65;2.42;Plastic;Switzerland; Lake of Zurich
CHF 38950;Cabin Boat;Lunde power boats;Used boat;;7.15;2.63;GRP;Lake Constance;8253
EUR 36000;Flybridge;Boston Whaler power boats;Used boat;;7.87;2.59;GRP;Italy; Toscana
CHF 40459;Bowrider;Nordkapp power boats;new boat from stock;;6.06;2.2;GRP;Switzerland; Vierwaldstättersee
CHF 40000;Cabin Boat;Nimbus power boats;Used boat;;7.8;2.65;GRP;Switzerland; Bielersee
CHF 40290;Motor Yacht;Quicksilver (Brunswick Marine) power boats;new boat from stock;;6.74;2.55;GRP;Switzerland; Neuenburgersee
CHF 39900;Sport Boat;Scout Boats power boats;Used boat;;6.8;2.59;GRP;Lake Geneva; Genève
CHF 40040;Sport Boat;Quicksilver (Brunswick Marine) power boats;new boat from stock;;5.94;2.4;GRP;Switzerland; Lake Constance
CHF 40000;Cabin Boat;;Used boat;;7.15;2.95;Plastic;Switzerland; Genève
EUR 37000;Pilothouse;AMT power boats;new boat from stock;;6.4;2.4;GRP;Germany; auf Anfrage
EUR 37000;Bowrider;Yamarin power boats;Used boat;;5.66;2.17;Aluminium;Germany; Nordsee
EUR 37000;Pontoon Boat;Crownline power boats;Used boat;;8.1;2.55;GRP;Italy; Lombardia - Trentino Alto Adige
EUR 37000;Center console boat;Bénéteau power boats;Used boat;;6.43;2.52;;France; LEGE CAP FERRET
EUR 37000;Sport Boat;Jeanneau power boats;Used boat;;7.8;2.9;PVC;France; LES SABLES D OLONNE
EUR 37000;Pilothouse;Jeanneau power boats;Used boat;;7.28;2.89;PVC;France; Vaux sur seine  78740
EUR 37000;Launch;Cobalt power boats;Used boat;;7.3;2.0;;Spain; Baleares
EUR 37000;Sport Boat;Bavaria power boats;Used boat;;8.86;2.98;GRP;Italy; Veneto
EUR 37000;Cabin Boat,Classic,Trawler;;Used boat;;7.32;1.95;Wood;Germany; Friedrichshafen
EUR 38000;Pilothouse;Rodman power boats;Used boat;;8.4;3.05;PVC;France; 29200 BREST
EUR 38000;Sport Boat;Four Winns power boats;Used boat;;7.36;2.55;;France; dienville
EUR 38000;Sport Boat;Larson power boats;Used boat;;7.62;2.47;;France; DIENVILLE
EUR 38000;Sport Boat;Quicksilver power boats;new boat from stock;;6.0;2.34;GRP;Germany; Gummersbach
EUR 38000;Sport Boat;;Used boat;;7.75;3.21;GRP;Italy; Toscana
EUR 38000;Deck Boat;Bénéteau power boats;Used boat;;6.23;2.52;PVC;France; La Rochelle
EUR 38000;Flybridge;Jeanneau power boats;Used boat;;10.0;3.45;PVC;France; Pornic
EUR 38000;Pontoon Boat;Saver power boats;Used boat;;7.75;2.55;GRP;Italy; Friuli Venezia Giulia
EUR 38000;Trawler;Broom power boats;Used boat;;9.7;3.6;PVC;France; Savoyeux
EUR 38000;Bowrider;Sea Ray power boats;Used boat;;8.99;2.95;GRP;France; Port Grimoud
EUR 38000;Motor Yacht;;Used boat;;12.4;4.3;;Italy; Toscana
EUR 38000;Classic;;Used boat;;6.5;1.8;Wood;Germany; Lake Constance
EUR 38000;Motor Yacht;;Used boat;;11.8;3.25;Plastic;Split;
EUR 38000;Cabin Boat;Alfastreet Marine power boats;Used boat;;7.8;2.45;GRP;Austria; Attersee
EUR 38000;Pilothouse;Bénéteau power boats;Used boat;;9.18;3.1;PVC;France; TREAUVILLE
EUR 38000;Pilothouse;Rhea power boats;Used boat;;8.85;2.84;;Italy; Mar Tirreno
EUR 38900;Pilothouse;Quicksilver power boats;Used boat;;5.75;2.54;;Germany;
EUR 38900;Pontoon Boat;Italmar power boats;Used boat;;6.5;2.4;GRP;Italy; Emilia Romagna
EUR 38900;Motor Yacht;Four Winns power boats;new boat from stock;;6.1;2.54;;Germany; IM VORLAUF
EUR 38900;Cabin Boat;Biam power boats;Used boat;;8.35;2.85;GRP;Netherlands; In verkoophaven
EUR 38900;Bowrider;Saxdor power boats;new boat on order;;5.94;2.29;;Germany; Boote Pfister GmbH Schwebheim/Schweinfurt
EUR 38900;Sport Boat;Princess power boats;Used boat;;9.0;3.0;GRP;Croatia (Hrvatska); Istra
CHF 42000;Classic,Runabout;Comitti power boats;Used boat;;5.3;1.9;Wood;Switzerland; Lake Geneva
CHF 42000;Pilothouse;Loon power boats;Used boat;;6.4;2.1;Aluminium;Switzerland; Sihlsee
CHF 42000;Fishing Boat;Pegazus power boats;Used boat;;5.6;2.54;;Switzerland; Lake Constance
DKK 289000;Bowrider;Jeanneau power boats;new boat from stock;;6.0;2.0;;Denmark; Svendborg
EUR 38794;Pilothouse;Jeanneau power boats;new boat from stock;;7.43;2.81;GRP;Germany;1
EUR 38794;Pilothouse;Jeanneau power boats;new boat on order;;7.43;2.81;GRP;Germany; Bönningstedt
EUR 38748;Pilothouse;Bénéteau power boats;new boat from stock;;6.0;2.0;PVC;Spain; Huelva
EUR 38700;Center console boat;Bénéteau power boats;new boat from stock;;5.56;2.23;PVC;France; LA GRANDE MOTTE
CHF 42000;Cabin Boat,Sport Boat;Chaparral power boats;Used boat;;8.5;2.75;Plastic;Switzerland; Neuenburgersee
CHF 42000;Sport Boat;Ilver power boats;Used boat;;9.0;2.93;GRP;Switzerland; Lago Maggiore
CHF 42270;Bowrider;Bayliner power boats;new boat from stock;;5.49;2.2;GRP;Switzerland; Lake Geneva
EUR 39000;Pilothouse;Yamarin power boats;new boat from stock;;6.05;2.32;Aluminium;Germany; Nordrhein-Westfalen
EUR 39000;Motor Yacht;Cranchi power boats;Used boat;;9.92;3.1;GRP;Italy; Sweet Water Lago Di Garda Gardasee
EUR 39000;Pilothouse;;Used boat;;8.6;2.56;GRP;France; Korsika
EUR 39000;Center console boat;;Used boat;;11.0;2.34;GRP;Italy; Toscana
EUR 39000;Sport Boat;Damor power boats;Used boat;;9.3;2.99;GRP;Croatia (Hrvatska);
EUR 39000;Sport Boat;Riva power boats;Used boat;;11.68;3.88;GRP;Italy; Toscana
EUR 39000;Sport Boat;Rinker power boats;Used boat;;9.14;2.77;GRP;Italy; Lake Garda
EUR 39000;Cabin Boat;Amerglass power boats;Used boat;;9.6;3.2;PVC;France; MORBIHAN
EUR 39000;Sport Boat;Ilver power boats;Used boat;;9.45;3.25;GRP;Italy; Lombardy
EUR 39000;Center console boat;;Used boat;;12.8;3.5;;Italy; Lazio
EUR 39000;Pilothouse;Bénéteau power boats;new boat from stock;;8.5;2.8;PVC;France; Lorient
EUR 39000;Sport Boat;Cranchi power boats;Used boat;;8.57;2.83;PVC;France; MENTON GARAVAN
EUR 39000;Deck Boat;Bénéteau power boats;Used boat;;6.22;2.49;PVC;France; PORNICHET
EUR 39888;Pilothouse;Parker power boats;new boat from stock;;6.6;2.5;GRP;Germany; Nordrhein-Westfalen
EUR 39800;Trawler;;Used boat;;8.1;2.5;;Germany; Norddeutschland
EUR 39800;Center console boat;Bénéteau power boats;new boat from stock;;6.04;2.26;PVC;France; ARZON
CHF 43000;Classic,Runabout;Boesch power boats;Used boat;;6.1;2.16;Wood;Switzerland; Lake of Zurich
EUR 39750;Cabin Boat;Biam power boats;Used boat;;8.35;2.85;GRP;Netherlands; In verkoophaven
EUR 39642;Sport Boat;;new boat from stock;;6.4;2.25;Aluminium;Germany; Neustadt in Holstein
EUR 39600;Sport Boat;Parker power boats;new boat from stock;;6.5;2.55;GRP;Germany; Hamburg
CHF 42800;Cabin Boat;Bénéteau power boats;Used boat;;6.5;2.43;GRP;Switzerland; Bielersee
CHF 42800;Fishing Boat;Ocean Master (US) power boats;Used boat;;9.24;3.1;GRP;Switzerland; Lago Maggiore
EUR 39590;Deck Boat;Karnic power boats;new boat from stock;;7.8;2.45;;Italy; Venezia
EUR 39500;Sport Boat;Marinello power boats;new boat from stock;;6.8;2.49;GRP;Germany; Hock Boote
EUR 39500;Pilothouse;;Used boat;;8.6;3.0;GRP;Portugal; Lisbon
EUR 39500;Sport Boat;Four Winns power boats;Used boat;;8.46;2.85;GRP;Italy; Veneto
EUR 39500;Motor Yacht;Maxum power boats;Used boat;;9.14;3.02;GRP;Croatia (Hrvatska); INFO DD-YACHTING
EUR 39999;Cabin Boat;Quicksilver (Brunswick Marine) power boats;new boat from stock;;5.75;2.54;GRP;Germany; Kieler Bucht mit Fehmarn
EUR 39999;Motor Yacht;Four Winns power boats;Used boat;;6.1;2.54;GRP;Germany; IM VORLAUF
EUR 39990;Motor Yacht;Regal power boats;Used boat;;10.5;3.5;;Croatia (Hrvatska); DALMATIEN
EUR 39990;Bowrider;Sea Ray power boats;new boat from stock;;5.94;2.54;;Germany; Bayern
EUR 39990;Pilothouse;Jeanneau power boats;new boat from stock;;6.2;2.44;PVC;France; Chalon-sur-Saône
EUR 39990;Trawler;;Diesel;;10.92;3.8;Steel;Germany; Verkaufshafen Brandenburg-Plaue
EUR 39990;Trawler;;Diesel;;11.0;3.25;Steel;Germany; Brandenburg
EUR 39990;Trawler;;Diesel;;9.8;3.0;Steel;Germany; Brandenburg/ Havel
EUR 39950;Sport Boat;;new boat from stock;;8.4;2.8;;Germany; DE
EUR 39950;Cabin Boat;Skagerrak power boats;Used boat;;7.2;2.8;GRP;Netherlands; In verkoophaven
EUR 39922;Pilothouse;Bénéteau power boats;new boat from stock;;5.52;2.4;PVC;Portugal; Parchal
EUR 39900;Sport Boat;Fjord power boats;Used boat;;9.0;3.0;GRP;Croatia (Hrvatska); Kvarner
EUR 39900;Offshore Boat;Formula power boats;Used boat;;8.3;2.5;GRP;Germany; Nordrhein-Westfalen
EUR 39900;Sport Boat;Chaparral power boats;Used boat;;8.38;2.85;GRP;Germany; Nordrhein-Westfalen
EUR 39900;Motor Yacht;Draco power boats;Used boat;;10.85;3.85;GRP;Germany; Lake Constance
EUR 40999;Pilothouse;Quicksilver (Brunswick Marine) power boats;new boat from stock;;7.76;2.85;GRP;Germany; Kieler Bucht mit Fehmarn
EUR 40900;Center console boat;Bénéteau power boats;new boat from stock;;5.56;2.23;Steel;France; PORNICHET
EUR 40800;Sport Boat;Scarani power boats;Used boat;;8.8;3.0;GRP;Switzerland; Lago Maggiore
EUR 40800;Pilothouse;Bénéteau power boats;new boat from stock;;6.5;2.4;;France; AQUITAINE
CHF 43990;Pilothouse;AMT power boats;Display Model;;5.5;2.24;GRP;Switzerland; Vierwaldstättersee
EUR 40687;Sport Boat;Drago Boats power boats;new boat from stock;;6.65;2.28;GRP;Germany; CUXHAVEN
EUR 40650;Sport Boat;Quicksilver (Brunswick Marine) power boats;new boat from stock;;5.5;2.29;GRP;Germany; Lake Constance
CHF 43500;Sport Boat;;new boat from stock;;5.1;2.3;Hypalon;Switzerland; Spiez
CHF 43800;Sport Boat;Windy Oceancraft power boats;Used boat;;6.8;2.45;GRP;Switzerland; Lake Constance
£ 36928;Pilothouse;Jeanneau power boats;new boat from stock;;5.77;2.44;PVC;United Kingdom; Lincoln
EUR 40500;Pilothouse;Rhea power boats;Used boat;;8.45;2.8;PVC;France; LA ROCHELLE
EUR 40465;Pilothouse;Parker power boats;Display Model;;6.45;2.45;GRP;Germany; Nordrhein-Westfalen
EUR 40410;Bowrider;B2 Marine power boats;new boat from stock;;5.7;2.15;GRP;Germany; Lake Constance
DKK 299000;Trawler;;Used boat;;12.48;3.85;Steel;Denmark; Nordsjælland
DKK 299000;Sport Boat;Yamarin power boats;new boat from stock;;6.0;2.0;;Denmark; Svendborg
