Price;Boat Type;Manufacturer;Condition ;Fuel ;Length;Width;Material;Country;City
CHF 7200;Sport Boat;Fiberline power boats;Used boat;Unleaded;3.95;1.55;Plastic;Switzerland; Lake of Zurich
DKK 49500;Fishing Boat;Uttern power boats;Used boat;;5.0;2.0;;Denmark; Svendborg
EUR 6590;Runabout;Schweizer power boats;Used boat;Unleaded;5.5;1.9;GRP;Germany; Nordrhein-Westfalen
EUR 6500;Cabin Boat;Cranchi power boats;Used boat;Diesel;6.28;2.27;GRP;Italy; Venezia
EUR 6500;Deck Boat;Corsiva power boats;new boat from stock;;5.7;2.2;GRP;Germany; Berlin
EUR 6500;Pontoon Boat;Brig power boats;Used boat;Unleaded;5.0;2.15;GRP;Italy;41100
EUR 6500;Cabin Boat;Dawncraft power boats;Used boat;Unleaded;8.0;2.1;GRP;Germany; Berlin
EUR 6500;Sport Boat;Invader power boats;Used boat;Unleaded;4.5;2.1;GRP;Austria; Werfenweng
EUR 6500;Classic;;Used boat;Unleaded;6.67;2.04;Wood;Spain; Costa del Sol
EUR 6490;Cabin Boat;Hille power boats;;Unleaded;4.75;1.86;GRP;Germany; Verkaufshafen Brandenburg-Plaue
CHF 7000;Sport Boat;Bienchen  power boats;Used boat;;3.2;1.5;GRP;Switzerland; Murtensee
CHF 7000;Cabin Boat;Fjord power boats;Used boat;;7.26;2.9;GRP;Switzerland; Lake Geneva
CHF 7000;Bowrider;Ecofiber power boats;Used boat;;4.15;1.65;GRP;Switzerland; Neuenburgersee
EUR 7800;Sport Boat;Pollini power boats;new boat from stock;;5.2;2.06;;Italy; Lake Garda
CHF 8300;Sport Boat,Working Boat;Italmarine power boats;Used boat;;4.28;1.65;Aluminium;Switzerland; Lake Constance
£ 7000;Cabin Boat,Classic;;Used boat;;8.23;2.65;Wood;United Kingdom; TROON
CHF 8200;Pilothouse;Lambro power boats;Used boat;;6.16;2.48;GRP;Switzerland; Neuenburgersee
EUR 7640;Deck Boat;Elan power boats;Used boat;;4.5;2.1;GRP;Germany; BUDENHEIM/RHEIN
CHF 8155;Bowrider;Terhi power boats;new boat from stock;;4.45;1.85;Thermoplastic;Switzerland; Horgen
EUR 7500;Center console boat;Fletcher power boats;Used boat;;4.5;1.7;GRP;Germany; Landshut
EUR 7500;Cabin Boat;;Used boat;;8.5;2.2;Steel;Netherlands; Sneek
EUR 7500;Sport Boat;Sessa power boats;Used boat;;5.8;2.2;;Italy; Lombardia - Trentino Alto Adige
EUR 7500;Sport Boat;Fjord power boats;Used boat;;5.7;2.2;GRP;Austria;
